#{"t_start": 1779744377.8609426, "env_id": "None"}
r,l,t
-74.0,76,1030.899865
-80.0,73,1031.895112
655.0,89,1033.143475
-94.0,69,1034.160431
670.0,110,1035.68328
-76.0,77,1036.700402
649.0,87,1037.996361
661.0,91,1039.312451
-54.0,91,1040.661828
-100.0,64,1041.618401
-50.0,98,1043.003958
668.0,108,1044.47973
-52.0,89,1045.618422
-72.0,75,1046.671088
-46.0,98,1048.06322
-72.0,81,1049.233955
-66.0,110,1050.775495
-162.0,31,1051.307743
666.0,106,1052.772531
-80.0,77,1053.888623
-94.0,66,1054.892247
-86.0,75,1055.971321
668.0,108,1057.486053
-98.0,63,1058.45507
-82.0,71,1059.531266
-94.0,67,1060.539715
653.0,99,1061.972851
-82.0,72,1063.032543
-56.0,93,1064.319024
-100.0,62,1065.301203
-144.0,32,1065.814063
-76.0,79,1066.947399
-40.0,102,1068.281061
-102.0,63,1069.241883
661.0,99,1070.568089
-66.0,81,1071.800107
657.0,101,1073.213175
670.0,106,1074.684627
670.0,108,1076.07097
-78.0,72,1077.132272
669.0,119,1078.787003
664.0,98,1080.132565
669.0,105,1081.535555
-102.0,62,1082.567512
669.0,115,1084.204322
-98.0,62,1085.157993
-68.0,109,1086.617968
-36.0,97,1087.970522
663.0,93,1089.298479
-94.0,64,1090.314838
661.0,105,1091.823586
-76.0,85,1093.104963
661.0,99,1094.513495
-76.0,75,1095.667574
665.0,97,1097.025995
-96.0,63,1098.008631
-70.0,87,1099.289544
-82.0,77,1100.43463
-54.0,89,1101.706475
-74.0,73,1102.789908
-44.0,94,1104.139488
-100.0,63,1105.125196
-78.0,80,1106.312449
-100.0,62,1107.284671
-68.0,81,1108.494189
665.0,99,1109.847553
-90.0,68,1110.842927
-72.0,76,1111.939234
664.0,108,1113.472398
-96.0,69,1114.512131
-72.0,79,1115.638403
-14.0,102,1117.110281
666.0,110,1118.629733
-76.0,74,1119.740642
-76.0,76,1120.896379
-108.0,54,1121.787711
678.0,116,1123.438832
-72.0,83,1124.686132
-96.0,69,1125.757185
-66.0,88,1127.100152
665.0,105,1128.647994
658.0,116,1130.335547
672.0,120,1132.017976
-78.0,74,1133.159788
-24.0,107,1134.662743
-94.0,68,1135.698528
-72.0,76,1136.820512
659.0,103,1138.285798
669.0,101,1139.723827
-92.0,72,1140.804651
-84.0,81,1142.084687
-74.0,84,1143.355641
663.0,105,1144.845748
-72.0,79,1146.004709
655.0,93,1147.319841
-72.0,76,1148.405095
-84.0,75,1149.572306
-62.0,81,1150.807614
-68.0,82,1152.065206
-92.0,67,1153.116709
661.0,97,1154.511873
-174.0,27,1155.055709
695.0,107,1156.636948
-48.0,116,1158.348096
652.0,88,1159.711229
-72.0,78,1160.903672
-108.0,48,1161.737805
-110.0,52,1162.620396
-72.0,78,1163.816937
-54.0,92,1165.348993
-38.0,98,1166.936742
-94.0,65,1168.201084
-96.0,63,1169.322968
-104.0,61,1170.340297
-86.0,71,1171.557204
18.0,133,1174.001572
-88.0,74,1175.314768
-104.0,63,1176.351331
-72.0,78,1177.654802
-96.0,64,1178.8652
4.0,134,1181.184986
-90.0,67,1182.293498
660.0,96,1183.869027
675.0,87,1185.203333
-6.0,116,1187.179444
-80.0,78,1188.565077
674.0,122,1190.677405
-114.0,53,1191.635083
-106.0,49,1192.467744
-76.0,80,1193.899699
-106.0,56,1194.867561
-100.0,64,1196.122364
-106.0,57,1197.066778
-108.0,59,1198.124952
-116.0,48,1198.970916
-66.0,82,1200.196772
669.0,117,1202.397558
-98.0,66,1203.445662
-34.0,101,1205.279244
-100.0,57,1206.222583
-80.0,73,1207.331553
-80.0,75,1208.4871
-88.0,71,1209.557667
-62.0,83,1210.983804
-76.0,80,1212.368527
-76.0,77,1213.842508
-134.0,37,1214.584578
-94.0,60,1215.577209
-104.0,53,1216.564023
-72.0,81,1217.982104
-90.0,72,1219.357198
-86.0,71,1220.659697
-72.0,78,1222.059633
-100.0,63,1223.36789
-40.0,94,1225.216461
-108.0,61,1226.436488
667.0,97,1228.185076
675.0,81,1229.501859
-64.0,89,1231.060882
-78.0,74,1232.302482
650.0,88,1233.903126
-78.0,75,1235.444609
654.0,90,1237.063485
-102.0,65,1238.109604
-64.0,86,1239.775727
643.0,85,1241.317767
675.0,83,1242.778877
-106.0,65,1244.037805
648.0,78,1245.428927
666.0,92,1247.177901
-98.0,56,1248.327918
671.0,97,1249.819204
-110.0,46,1250.802875
-76.0,76,1252.086818
-82.0,86,1253.621943
-118.0,50,1254.624887
-96.0,64,1255.819171
-78.0,77,1257.138961
-90.0,68,1258.310796
-22.0,115,1260.44593
-158.0,28,1260.994884
-90.0,68,1262.327696
-46.0,95,1264.020306
-76.0,74,1265.380902
-74.0,74,1266.750995
-102.0,57,1267.843411
665.0,117,1269.543465
652.0,96,1271.343977
662.0,104,1273.075935
-104.0,58,1274.162465
-116.0,55,1275.338431
-76.0,78,1276.775836
640.0,84,1278.445366
661.0,73,1279.923431
-124.0,44,1280.870493
-72.0,76,1282.315744
-62.0,88,1284.012793
659.0,91,1285.667845
-70.0,78,1286.897254
-126.0,41,1287.698248
-60.0,87,1289.102505
-82.0,73,1290.39132
-62.0,82,1292.034303
647.0,87,1293.705884
660.0,94,1295.333314
-102.0,61,1296.533586
-98.0,67,1297.886564
-92.0,66,1299.19039
661.0,95,1300.944697
-30.0,101,1303.127833
644.0,96,1304.990227
-72.0,78,1306.355361
-92.0,66,1307.649022
-90.0,68,1309.088301
665.0,105,1311.067398
656.0,96,1312.88958
674.0,108,1314.673306
678.0,98,1316.337677
-164.0,33,1317.058025
-100.0,64,1318.342482
-28.0,104,1320.34792
678.0,132,1322.886972
665.0,105,1325.047993
-96.0,71,1326.537374
-70.0,85,1328.320811
-90.0,73,1329.88716
670.0,108,1331.799388
-102.0,58,1333.10438
677.0,121,1335.592773
679.0,139,1338.353929
663.0,111,1340.352674
-96.0,71,1341.790813
-108.0,50,1342.999735
-12.0,151,1345.905515
651.0,105,1347.944992
-80.0,72,1349.558236
-42.0,96,1351.327531
-138.0,37,1352.125324
-84.0,73,1353.620402
668.0,116,1355.712287
-130.0,40,1356.589059
-58.0,84,1358.460158
-8.0,141,1361.176665
-50.0,86,1362.981728
-40.0,100,1364.990654
-30.0,132,1367.701864
-90.0,67,1369.287376
682.0,104,1371.443978
653.0,89,1373.206451
-18.0,105,1375.505965
-60.0,95,1377.4028
-56.0,84,1379.316218
-122.0,49,1380.427694
674.0,118,1382.866888
-54.0,87,1384.775203
668.0,112,1387.102292
649.0,97,1389.008318
-16.0,119,1391.145328
692.0,134,1394.170435
-30.0,104,1396.170638
-44.0,99,1398.277403
673.0,131,1401.157701
-64.0,88,1403.117676
-98.0,67,1404.647674
-30.0,100,1406.75655
637.0,109,1409.325968
-88.0,61,1410.775615
667.0,119,1413.028795
34.0,154,1416.22444
654.0,96,1418.350462
-114.0,55,1419.743674
-94.0,64,1421.178234
640.0,130,1423.971991
662.0,108,1426.121646
676.0,126,1428.456348
