#{"t_start": 1779749986.0541875, "env_id": "None"}
r,l,t
656.0,96,551.592016
-136.0,37,552.08733
658.0,98,553.20184
649.0,101,554.328124
648.0,84,555.384139
662.0,100,556.532459
652.0,88,557.615654
662.0,92,558.663916
660.0,100,559.812177
657.0,93,560.858952
657.0,103,562.007247
655.0,93,563.14526
656.0,92,564.203701
656.0,90,565.326877
660.0,102,566.461288
658.0,102,567.601665
653.0,91,568.724546
665.0,101,569.875819
607.0,151,571.586293
659.0,95,572.656646
651.0,91,573.777222
656.0,106,574.947147
661.0,95,576.110894
660.0,96,577.184183
654.0,106,578.357564
656.0,98,579.464363
664.0,94,580.510069
-108.0,55,581.270807
656.0,110,582.516865
-86.0,70,583.336126
650.0,84,584.368847
-84.0,74,585.219542
647.0,85,586.288547
661.0,99,587.418437
661.0,101,588.548375
651.0,85,589.6182
646.0,100,590.78113
-112.0,59,591.585971
657.0,93,592.626819
661.0,91,593.815045
658.0,92,594.856481
-86.0,68,595.66659
650.0,96,596.825466
660.0,92,597.865389
655.0,99,599.085307
-86.0,71,599.924956
653.0,111,601.176473
-80.0,81,602.238116
662.0,100,603.376506
659.0,101,604.58495
654.0,92,605.626579
-110.0,62,606.476355
657.0,97,607.565156
662.0,92,608.616873
657.0,91,609.705015
-78.0,76,610.576351
-94.0,63,611.445904
-82.0,75,612.319908
658.0,102,613.450284
631.0,87,614.530673
658.0,110,615.765113
-86.0,68,616.66073
659.0,109,617.8616
662.0,100,618.976147
663.0,101,620.204756
652.0,96,621.282004
650.0,82,622.32625
656.0,102,623.463952
578.0,186,625.570881
657.0,99,626.678512
660.0,106,627.865247
-88.0,79,628.903379
-138.0,36,629.483674
-84.0,71,630.305739
657.0,95,631.372131
649.0,83,632.42467
660.0,98,633.512192
-82.0,71,634.436816
663.0,101,635.556795
663.0,101,636.750041
662.0,98,637.928261
623.0,125,639.298028
657.0,101,640.463711
660.0,108,641.680386
646.0,80,642.70511
666.0,100,643.83703
655.0,105,645.091806
665.0,109,646.305059
-36.0,200,648.510549
-88.0,70,649.367794
651.0,93,650.53744
-92.0,68,651.34978
624.0,114,652.697009
-86.0,72,653.558581
654.0,94,654.629383
663.0,109,655.920287
655.0,95,656.998523
-104.0,58,657.784907
656.0,112,659.057438
661.0,105,660.240582
-86.0,73,661.176844
666.0,106,662.404136
-134.0,36,662.936641
-76.0,75,663.827095
654.0,94,664.995395
-74.0,85,665.966375
661.0,105,667.145067
666.0,100,668.305683
658.0,98,669.395823
665.0,101,670.614878
664.0,104,671.775344
655.0,93,672.926951
659.0,95,674.017846
-90.0,72,674.937288
655.0,101,676.059567
661.0,101,677.202424
644.0,84,678.244483
659.0,99,679.358343
657.0,99,680.58844
-80.0,80,681.518128
659.0,97,682.764611
665.0,105,683.924587
664.0,98,685.052561
-80.0,77,686.084551
663.0,97,687.174449
-104.0,66,688.046713
654.0,104,689.226544
645.0,97,690.396104
651.0,93,691.440929
-90.0,65,692.251855
649.0,87,693.346748
-86.0,67,694.141871
652.0,86,695.206118
670.0,102,696.41543
652.0,100,697.628913
-88.0,66,698.426023
665.0,103,699.567098
663.0,103,700.850089
662.0,100,702.000885
-116.0,56,702.781883
653.0,99,703.894424
-110.0,55,704.66225
658.0,100,705.78472
-88.0,67,706.587697
660.0,100,707.807801
-84.0,72,708.753383
655.0,91,709.799559
-106.0,65,710.667917
-148.0,200,712.949146
-84.0,72,713.788187
658.0,102,715.046051
-104.0,57,715.819247
654.0,108,717.158135
658.0,102,718.339351
661.0,105,719.633316
664.0,102,720.818427
650.0,94,722.002599
660.0,100,723.254192
645.0,91,724.392164
-84.0,70,725.348459
-98.0,61,726.141506
-4.0,155,728.004116
649.0,89,729.202067
-108.0,53,729.968756
661.0,97,731.179076
635.0,109,732.588749
648.0,88,733.720487
-84.0,74,734.588984
646.0,104,735.859259
-84.0,68,736.759896
660.0,108,738.146804
665.0,101,739.278961
604.0,168,741.309361
-90.0,72,742.273952
663.0,99,743.491701
-116.0,200,745.862287
645.0,91,746.991769
-86.0,67,747.817989
647.0,87,748.906031
655.0,89,750.037213
661.0,101,751.280979
